,TransactionID,TransactionAmount,TimeChange_mins,AccountBalance,Load_and_go_flag,Debit_Balance_ratio,High_amount_for_job,TransactionVelocity_30mins,TransactionType_freq,Channel_freq,CustomerOccupation_freq,CustomerAge_map
0,TX001313,47.79,0.0,1649.92,0,0.028965040729247476,0,1.0,0.7738853503184714,0.34554140127388533,0.26154458598726116,2
1,TX002017,212.97,86396.23333333334,4180.4,0,0.050944885656874946,0,1.0,0.7738853503184714,0.3228503184713376,0.24880573248407642,3
2,TX002121,476.99,-351472.45,1154.48,0,0.41316436837364007,0,1.0,0.7738853503184714,0.3228503184713376,0.26154458598726116,2
3,TX000021,59.32,0.0,5750.89,0,0.010314925168104415,0,1.0,0.7738853503184714,0.34554140127388533,0.23845541401273884,3
4,TX001477,12.62,-331225.1,6420.47,0,0.0019655881890266597,0,1.0,0.7738853503184714,0.34554140127388533,0.25119426751592355,2
5,TX000062,263.99,110850.53333333334,4175.02,0,0.06323083482234815,0,1.0,0.7738853503184714,0.34554140127388533,0.23845541401273884,3
6,TX001599,395.16,115178.35,5340.73,0,0.07398988527785529,0,1.0,0.7738853503184714,0.3228503184713376,0.23845541401273884,3
7,TX001674,331.66,70658.9,7216.3,0,0.04595984091570473,0,1.0,0.7738853503184714,0.33160828025477707,0.23845541401273884,3
8,TX001029,516.47,315413.3333333333,1305.06,0,0.0,0,1.0,0.22611464968152867,0.33160828025477707,0.26154458598726116,2
9,TX002326,20.17,-393252.23333333334,3869.37,0,0.005212734889659041,0,1.0,0.7738853503184714,0.33160828025477707,0.23845541401273884,3
10,TX001841,237.97,0.0,13486.15,0,0.017645510393996804,0,1.0,0.7738853503184714,0.33160828025477707,0.25119426751592355,3
11,TX002363,416.62,90761.9,9700.9,0,0.0,0,1.0,0.22611464968152867,0.3228503184713376,0.26154458598726116,2
12,TX001904,384.11,181388.95,7902.52,0,0.04860601428405116,0,1.0,0.7738853503184714,0.33160828025477707,0.23845541401273884,3
13,TX002248,207.47,201741.6,1688.9,0,0.12284327076795547,0,1.0,0.7738853503184714,0.33160828025477707,0.25119426751592355,1
14,TX001851,13.16,-296594.93333333335,1019.46,0,0.012908794852176643,0,1.0,0.7738853503184714,0.34554140127388533,0.24880573248407642,1
